"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Oct-2024","EQ","1,666.60","1,669.80","1,595.55","1,684.95","1,610.15","1,608.65","1,612.13","1,761.85","1,113.80","36,38,913","5,86,64,18,955.75","2,02,646"
"30-Oct-2024","EQ","1,704.10","1,712.15","1,682.25","1,698.50","1,686.00","1,684.95","1,690.88","1,761.85","1,113.80","13,05,424","2,20,73,12,722.15","58,766"
"29-Oct-2024","EQ","1,709.00","1,724.10","1,680.35","1,702.55","1,703.75","1,698.50","1,694.73","1,761.85","1,113.80","14,99,121","2,54,06,08,494.55","87,296"
"28-Oct-2024","EQ","1,710.00","1,727.95","1,693.20","1,716.45","1,705.00","1,702.55","1,704.43","1,761.85","1,113.80","12,71,473","2,16,71,40,873.15","1,03,706"
"25-Oct-2024","EQ","1,735.75","1,742.40","1,710.35","1,735.75","1,711.50","1,716.45","1,726.04","1,761.85","1,098.15","17,43,714","3,00,97,12,172.60","1,22,893"
"24-Oct-2024","EQ","1,735.05","1,748.00","1,728.05","1,735.95","1,735.75","1,735.75","1,737.01","1,761.85","1,098.15","15,70,443","2,72,78,72,700.95","66,549"
"23-Oct-2024","EQ","1,696.55","1,749.00","1,685.60","1,696.55","1,732.85","1,735.95","1,732.16","1,761.85","1,098.15","41,98,781","7,27,29,75,899.15","1,17,118"
"22-Oct-2024","EQ","1,703.40","1,726.95","1,691.45","1,701.20","1,692.05","1,696.55","1,706.97","1,761.85","1,098.15","24,84,594","4,24,11,26,128.10","1,29,082"
"21-Oct-2024","EQ","1,745.00","1,761.85","1,690.05","1,687.90","1,695.20","1,701.20","1,723.51","1,761.85","1,098.15","58,98,020","10,16,52,96,944.00","1,70,815"
"18-Oct-2024","EQ","1,695.00","1,702.40","1,645.60","1,699.00","1,685.15","1,687.90","1,683.77","1,709.90","1,098.15","31,19,646","5,25,27,80,584.95","1,23,490"
"17-Oct-2024","EQ","1,660.70","1,709.90","1,656.00","1,660.30","1,707.00","1,699.00","1,690.31","1,709.90","1,098.15","37,71,316","6,37,47,11,911.20","99,068"
"16-Oct-2024","EQ","1,670.00","1,677.45","1,652.80","1,675.35","1,661.25","1,660.30","1,665.21","1,703.45","1,098.15","10,70,524","1,78,26,45,006.60","62,236"
